#,Name,Year,Age Rating,Duration,Genre,Rating,Description,Director(s),Stars,Release Date
1,The Courier,(2020),PG-13,112 min,Thriller            ,7.1,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,Dominic Cooke,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Vladimir Chuprikov","VOD and DVD/Blu-ray Release Date: Tuesday, June 1"
2,Boogie,(2021),R,90 min,Drama            ,5.2,"Coming-of-age story of Alfred ""Boogie"" Chin, a basketball phenom living in Queens, New York, who dreams of one day playing in the NBA. While his parents pressure him to focus on earning a scholarship to an elite college, Boogie must find a way to navigate a new girlfriend, high school, on-court rivals and the burden of expectation.",Eddie Huang,"Taylor Takahashi, Pamelyn Chee, Jorge Lendeborg Jr., Taylour Paige","VOD and DVD/Blu-ray Release Date: Tuesday, June 1"
3,Embattled,(2020),R,117 min,"Action, Drama, Sport            ",6.5,"A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.",Nick Sarkisov,"Stephen Dorff, Elizabeth Reaser, Drew Scheid, Donald Faison","DVD/Blu-Ray Release Date: Tuesday, June 1"
4,The Lovebirds,(2020),R,86 min,"Action, Comedy, Crime            ",6.1,A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,Michael Showalter,"Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp","DVD/Blu-Ray Release Date: Tuesday, June 1"
5,The World to Come,(2020),R,105 min,Drama            ,6.2,"Somewhere along the mid-19th century American East Coast frontier, two neighboring couples battle hardship and isolation, witnessed by a splendid yet testing landscape, challenging them both physically and psychologically.",Mona Fastvold,"Katherine Waterston, Vanessa Kirby, Casey Affleck, Christopher Abbott","DVD/Blu-Ray Release Date: Tuesday, June 1"
6,It's Not a Burden: The Humor and Heartache of Raising Elderly Parents,(2021),,,Documentary            ,7.2,Add a Plot,Michelle Boyaner,"Michelle Boyaner, Morris Boyaner, Elaine Boyaner George, Brother V. Kenneth","VOD Release Date: Tuesday, June 1"
7,Port Authority,(2019),R,101 min,Drama            ,6.4,"Paul must confront his white boy realness after arriving in New York and getting involved with explosively divisive groups: the queer ballroom scene and some straight debt collectors, while falling in love with a trans woman.",Danielle Lessovitz,"Fionn Whitehead, Leyna Bloom, McCaul Lombardi, Louisa Krause","VOD Release Date: Tuesday, June 1"
8,Dementia: Part II,(2018),,67 min,"Comedy, Horror            ",6.4,"When an ex-con takes a job as a handyman for an unstable elderly woman to avoid a parole violation, it becomes a choice he may regret.","Matt Mercer, Mike Testin","Suzanne Voss, Matt Mercer, Najarra Townsend, Graham Skipper","VOD and DVD/Blu-Ray Release Date: Tuesday, June 1"
9,Edge of the World,(2021),,104 min,"Adventure, Drama            ",5.1,"The adventures of Sir James Brooke, who defied the British Empire to rule a jungle kingdom in 1840s Borneo, embarked on a lifelong crusade to end piracy, slavery and head-hunting, and inspired LORD JIM and THE MAN WHO WOULD BE KING.",Michael Haussman,"Jonathan Rhys Meyers, Josie Ho, Dominic Monaghan, Ralph Ineson","VOD Release Date: Friday, June 4"
10,Under the Stadium Lights,(2021),PG-13,109 min,"Action, Drama, Sport            ",3.8,Brother's Keeper is a true story about the '09 Abilene High School Football team.,Todd Randall,"Milo Gibson, Abigail Hawk, Acoryé White, Carter Redwood","VOD and DVD/Blu-ray Release Date: Friday, June 4"
11,The Education of Fredrick Fitzell,(2020),R,97 min,"Drama, Thriller            ",5.6,"After a chance encounter with a man forgotten from his youth, Fred literally and metaphorically journeys into his past.",Christopher MacBride,"Liisa Repo-Martell, Dylan O'Brien, Hannah Gross, Donald Burda","VOD Release Date: Friday, June 4"
12,City of Lies,(2018),R,112 min,"Biography, Crime, Drama            ",6.5,Russell Poole and Jack Jackson investigate the murders of rappers Notorious B.I.G. and Tupac Shakur.,Brad Furman,"Johnny Depp, Forest Whitaker, Toby Huss, Dayton Callie","DVD/Blu-Ray Release Date: Tuesday, June 8"
13,The Unhealer,(2020),,94 min,"Horror, Sci-Fi, Thriller            ",4.5,"A botched faith healing bestows supernatural Shaman powers on a bullied teenager. When his lifelong tormentors pull a prank that kills someone he loves, he uses his powers for revenge and goes on a bloody rampage to settle the score.",Martin Guigui,"Lance Henriksen, Elijah Nelson, Shelby Janes, Kayla Carlson","VOD Release Date: Tuesday, June 8"
14,Fuller House,(2016–2020),,30 min,"Comedy, Family            ",6.7,"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.",,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber, Michael Campion","DVD/Blu-Ray Release Date: Tuesday, June 8"
15,MacGyver,(2016–2021),,43 min,"Action, Adventure, Drama            ",5.4,"Young Angus ""Mac"" MacGyver works for a clandestine organization within the U.S. government, relying on his unconventional problem-solving skills to save lives.",,"Lucas Till, Tristin Mays, Justin Hires, Meredith Eaton","DVD/Blu-Ray Release Date: Tuesday, June 8"
16,Zeroville,(2019),R,96 min,"Comedy, Drama, Mystery            ",4.6,"A young ex-communicated seminarian, Ike ""Vikar"" Jerome, arrives in Los Angeles on the same August day in 1969 that a crazed hippie ''family'' led by Charles Manson commits five savage murders.",James Franco,"James Franco, Megan Fox, Seth Rogen, Joey King","DVD/Blu-Ray Release Date: Tuesday, June 8"
17,Upheaval,(2021),,,Post-production,,"The story of a newlywed-suburban couple (Annie Knox, Samuel Harbrow) who are greeted by a local Parish Worker (Adrian Perez) who involves them in a life-insurance, murder-plot to fund The local Village Hall.",Cameron Bowyer,"Adrian Perez, Annie Knox, Samuel Harbrow","VOD Release Date: Wednesday, June 9"
18,Dream Horse,(2020),PG,113 min,"Biography, Comedy, Drama            ",6.8,"Dream Alliance is an unlikely race horse bred by small-town Welsh bartender Jan Vokes. With no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream in the hopes he can compete with the racing elites.",Euros Lyn,"Toni Collette, Owen Teale, Alan David, Lynda Baron","VOD Release Date: Tuesday, June 11"
19,Anything for Jackson,(2020),,97 min,Horror            ,6.4,A bereaved Satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child but end up summoning more than they bargained for.,Justin G. Dyck,"Sheila McCarthy, Julian Richings, Konstantina Mantelos, Josh Cruddas","DVD/Blu-Ray Release Date: Tuesday, June 15"
20,Your Honor,(II) (2020–2021),,57 min,"Crime, Drama, Thriller            ",7.6,"A judge confronts his convictions when his son is involved in a hit and run that embroils an organized crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.",,"Bryan Cranston, Hunter Doohan, Hope Davis, Michael Stuhlbarg","DVD/Blu-Ray Release Date: Tuesday, June 15"
21,The Walking Dead: World Beyond,(2020– ),,60 min,"Drama, Horror, Sci-Fi            ",4.2,The series will focus on the first generation to grow up during the zombie apocalypse.,,"Julia Ormond, Nicolas Cantu, Alexa Mansour, Nico Tortorella","Season 1 DVD/Blu-Ray Release Date: Tuesday, June 15"
22,Godzilla vs. Kong,(2021),PG-13,113 min,"Action, Sci-Fi, Thriller            ",6.4,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.,Adam Wingard,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry","VOD Release Date: Tuesday, June 15"
23,Night Walk,(I) (2019),R,97 min,"Action, Crime            ",5.8,"In this modern-day Romeo and Juliet, star-crossed lovers are torn apart by cultural tensions between the East and the West. Sarah takes her American boyfriend Frank to her home country in the Arab world. After an incident during a night stroll, Frank is imprisoned by corrupt police for Sarah's murder. His quest for justice turns into a spiritual journey led by Muslim inmates, from the moderate ...                See full summary »",Aziz Tazi,"Sean Stone, Sarah Alami, Laouni Mouhid, Patrick Kilpatrick","VOD Release Date: Tuesday, June 15"
24,The Misfits,(2021),R,94 min,"Action, Adventure, Thriller            ",4.1,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",Renny Harlin,"Pierce Brosnan, Tim Roth, Nick Cannon, Rami Jaber","VOD Release Date: Tuesday, June 15"
25,The Space Between,(2021),R,95 min,"Comedy, Drama            ",5.1,"Micky Adams, an eccentric has-been rock musician, loses his grip on reality all while his record label is looking to drop him. A young Charlie Porter is tasked with traveling to the musician's bizarre home and forcing Micky Adams out of his contract.",Rachel Winter,"Jackson White, Jimmy Valdez, Paris Jackson, Gabriel Hammett","VOD Release Date: Tuesday, June 15"
26,The Unholy,(2021),PG-13,99 min,"Drama, Horror, Mystery            ",5,"A hearing-impaired girl is visited by the Virgin Mary and can suddenly hear, speak, and heal the sick. As people flock to witness her miracles, terrifying events unfold. Are they the work of the Virgin Mary or something much more sinister?",Evan Spiliotopoulos,"Jeffrey Dean Morgan, Cricket Brown, William Sadler, Katie Aselton","VOD Release Date: Tuesday, June 22"
27,Siberia,(2019),R,92 min,"Drama, Fantasy, Horror            ",5,An exploration into the language of dreams.,Abel Ferrara,"Willem Dafoe, Dounia Sichov, Simon McBurney, Cristina Chiriac","VOD Release Date: Tuesday, June 22"
28,Breaking Ice,(2020),,,Documentary            ,0,The story of the first Irish bobsleigh team to take part in the Olympics.,Jason Branagan,"Peter Donohoe, Paul Hyland, Barry John Kinsella, Nicholas Lane","VOD Release Date: Tuesday, June 22"
29,Hunter Hunter,(2020),,93 min,"Horror, Thriller            ",6.4,"Joseph and his family live in the remote wilderness as fur trappers, but their tranquility is threatened when they think they are being hunted by the return of a rogue wolf, and Joseph leaves them behind to track it.",Shawn Linden,"Camille Sullivan, Summer H. Howell, Devon Sawa, Nick Stahl","DVD/Blu-Ray Release Date: Tuesday, June 22"
30,The Umbrella Academy,(2019– ),,60 min,"Action, Adventure, Comedy            ",8,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman","Season 1 DVD/Blu-Ray Release Date: Tuesday, June 22"
31,"Batman: The Long Halloween, Part One",(2021 Video),PG-13,85 min,"Animation, Action, Crime            ",7.6,Batman investigates a murder spree that takes place on holidays.,Chris Palmer,"Jensen Ackles, Josh Duhamel, Naya Rivera, Troy Baker","VOD and DVD/Blu-ray Release Date: Tuesday, June 22"
32,Blindsided,(2021),R,82 min,"Action, Drama, Thriller            ",3.2,"Taylor is forced to hide the young daughter of a Colombian woman in witness protection who will be testifying against a powerful drug cartel in Federal Court, as ruthless sicarios aim to hunt them down.",Joth Riggs,"Natasha Henstridge, Manny Perez, Costas Mandylor, Addison Kendall","DVD/Blu-Ray Release Date: Tuesday, June 22"
33,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),R,117 min,"Animation, Action, Adventure            ",8.4,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono","VOD Release Date: Tuesday, June 22"
34,Rollers,(2021),,,Comedy            ,4.4,"Rufus Paisley is a closet alcoholic and everything he loves is smashed together into one place: Rollers. He gave up a promising career as a musician in order to keep it alive, but the ...                See full summary »",Isaiah Smallman,"Kevin Bigley, Vicky Jeudy, Courtney Dietz, Kate Cobb","VOD Release Date: Friday, June 25"
35,Andra sidan,(2020),,87 min,"Horror, Mystery, Thriller            ",5.3,"A dad moves into a new house with his son and girlfriend. When he's out of town working, the son makes a new ""friend"" next door.","Tord Danielsson, Oskar Mellander","Jakob Fahlstedt, Janna Granström, Dilan Gwyn, Karin Holmberg","VOD Release Date: Friday, June 25"
36,The Watch,(2020– ),,,"Comedy, Crime, Drama            ",5.2,A group of misfit cops rise up from decades of helplessness to save their corrupt city from catastrophe.,,"Richard Dormer, Lara Rossi, Adam Hugill, Marama Corlett","DVD/Blu-Ray Release Date: Tuesday, June 29"
37,Werewolves Within,(2021),R,97 min,"Comedy, Horror            ",6.6,Feature adaptation of the video game where werewolves attack a small town.,Josh Ruben,"Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns","VOD Release Date: Friday, July 2"
38,Defending Jacob,(2020),,402 min,"Crime, Drama, Mystery            ",7.9,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder.",,"Chris Evans, Michelle Dockery, Jaeden Martell, Cherry Jones","DVD/Blu-Ray Release Date: Tuesday, July 6"
39,Equal Standard,(2020),,101 min,"Action, Crime            ",5.4,"New York City police officers lives collide in interweaving stories of race, rank, loss, and betrayal.",Brendan Kyle Cochrane,"Robert Clohessy, Ice-T, Jules Willcox, Hassan Johnson","DVD/Blu-Ray Release Date: Tuesday, July 6"
40,No Man's Land,(IV) (2020),PG-13,114 min,"Action, Adventure, Thriller            ",5.1,"When a vigilante border patrol turns fatal, a man flees on horseback to Mexico, seeking forgiveness from the victim's father.",Conor Allyn,"Jake Allyn, Frank Grillo, Jorge A. Jimenez, Andie MacDowell","DVD/Blu-Ray Release Date: Tuesday, July 13"
41,Mortal Kombat,(2021),R,110 min,"Action, Adventure, Fantasy            ",6.2,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson, Joe Taslim","DVD/Blu-Ray Release Date: Tuesday, July 13"
42,Wrath of Man,(2021),R,119 min,"Action, Crime, Thriller            ",7.2,"The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",Guy Ritchie,"Jason Statham, Holt McCallany, Josh Hartnett, Rocci Williams","DVD/Blu-Ray Release Date: Tuesday, July 13"
43,The SpongeBob Movie: Sponge on the Run,(2020),PG,91 min,"Animation, Adventure, Comedy            ",6,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.",Tim Hill,"Tim Hill, Clancy Brown, Bill Fagerbakke, Rodger Bumpass","DVD/Blu-Ray Release Date: Tuesday, July 13"
44,Separation,(I) (2021),R,107 min,Horror            ,4.5,A young girl finds solace in her artist father and the ghost of her dead mother.,William Brent Bell,"Madeline Brewer, Rupert Friend, Brian Cox, Mamie Gummer","VOD and DVD/Blu-Ray Release Date: Tuesday, July 13"
45,Held,(2020),,94 min,"Horror, Mystery, Thriller            ",5.2,A couple's ailing marriage is put to the test when they are held hostage in an isolated vacation rental by an unseen Voice that commands their every move.,"Travis Cluff, Chris Lofing","Jill Awbrey, Bart Johnson, Travis Cluff, Zack Gold","DVD/Blu-Ray Release Date: Tuesday, July 13"
46,Pennyworth,(2019– ),,60 min,"Action, Crime, Drama            ",7.9,"The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father.",,"Jack Bannon, Ben Aldridge, Ryan Fletcher, Dorothy Atkinson","Season 2 DVD/Blu-Ray Release Date: Tuesday, July 13"
47,Jakob's Wife,(2021),,98 min,Horror            ,5.3,"Anne, married to a small-town Minister, feels her life has been shrinking over the past 30 years. Encountering ""The Master"" brings her a new sense of power and an appetite to live bolder. However, the change comes with a heavy body count.",Travis Stevens,"Barbara Crampton, Larry Fessenden, Bonnie Aarons, Nyisha Bell","DVD/Blu-Ray Release Date: Tuesday, July 20"
48,Die in a Gunfight,(2021),R,,"Action, Comedy, Crime            ",,"In New York City, a young guy falls for the daughter of his father's nemesis.",Collin Schiffli,"Diego Boneta, Alexandra Daddario, Travis Fimmel, Justin Chatwin","DVD/Blu-Ray Release Date: Tuesday, July 20"
49,Sorjonen,(2016–2020),,60 min,"Crime, Drama, Mystery            ",7.6,"Quirky police detective, in Finland, delves into his mind palace to solve despicable crimes all the while trying to keep his family together. If Sherlock was based in Finland this would be it.",,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi","Season 3 DVD/Blu-Ray Release Date: Tuesday, July 20"
50,Feral State,(2020),R,84 min,Thriller            ,6.9,A misfit gang of runaways and orphans are taken in by a dark and charismatic father figure who together wreak havoc throughout swamps and trailer parks of central Florida.,Jon Carlo,"AnnaLynne McCord, Ronnie Gene Blevins, Veronica Burgess, Sif Saga","DVD/Blu-Ray Release Date: Tuesday, July 20"
51,Gangs of London,(2020– ),,,"Action, Crime, Drama            ",8.1,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.,,"Joe Cole, Lucian Msamati, Paapa Essiedu, Sope Dirisu","Season 1 DVD/Blu-Ray Release Date: Tuesday, July 20"
52,Shameless,(2011–2021),,46 min,"Comedy, Drama            ",8.5,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",,"Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White","Season 11 DVD/Blu-Ray Release Date: Tuesday, July 20"
53,Initiation,(II) (2020),R,96 min,"Crime, Horror, Mystery            ",5,"Whiton University unravels the night a star-athlete is murdered, kicking off a spree of social media slayings that force students to uncover the truth behind the school's hidden secrets and the horrifying meaning of an exclamation point.",John Berardo,"Isabella Gomez, Lindsay LaVanchy, Froy Gutierrez, James Berardo","DVD/Blu-Ray Release Date: Tuesday, July 20"
54,Star Trek: Discovery,(2017– ),,60 min,"Action, Adventure, Drama            ",7.2,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman","Season 3 DVD/Blu-Ray Release Date: Tuesday, July 20"
55,The Spanish Princess,(2019–2020),,55 min,"Drama, History, Romance            ",6.9,"The beautiful Spanish princess, Catherine of Aragon, navigates the royal lineage of England with an eye on the throne.",,"Laura Carmichael, Aaron Cobham, Charlotte Hope, Stephanie Levi-John","Part 2 DVD/Blu-Ray Release Date: Tuesday, July 20"
56,The Walking Dead,(2010–2022),,44 min,"Drama, Horror, Thriller            ",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan","Season 10 DVD/Blu-Ray Release Date: Tuesday, July 20"
57,A Quiet Place Part II,(2020),PG-13,97 min,"Drama, Horror, Sci-Fi            ",7.7,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski","DVD/Blu-Ray Release Date: Tuesday, July 27"
58,American Gods,(2017–2021),,60 min,"Drama, Fantasy, Mystery            ",7.7,"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past.",,"Ricky Whittle, Emily Browning, Yetide Badaki, Bruce Langley","Season 3 DVD/Blu-Ray Release Date: Tuesday, July 27"
59,You Belong to Me,(2021),R,105 min,"Drama, Mystery, Thriller            ",5.2,"A psychiatrist, whose client commits suicide, finds his family life disrupted after introducing her surviving brother to his wife and daughter.",Vaughn Stein,"Casey Affleck, Michelle Monaghan, Sam Claflin, Veronica Ferres","DVD/Blu-Ray Release Date: Tuesday, July 27"
60,Âya to majo,(2020 TV Movie),PG,82 min,"Animation, Adventure, Family            ",4.7,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.",Gorô Miyazaki,"Jazmín Abuín, JB Blanc, Thomas Bromhead, Alex Cartañá","DVD/Blu-Ray Release Date: Tuesday, July 27"
61,Keeping Faith,(2017–2021),,60 min,"Drama, Mystery, Thriller            ",7.1,"Faith, a small-town Welsh lawyer, is forced to cut short her extended maternity leave when her husband and business partner, Evan, goes missing. As the truth of his actions surface, Faith must fight to protect her family and her sanity.",,"Eve Myles, Bradley Freegard, Mark Lewis Jones, Hannah Daniel","Series 3 DVD/Blu-Ray Release Date: Tuesday, July 27"
62,Midnight in the Switchgrass,(2021),R,99 min,Thriller            ,,An FBI agent and Florida State officer team up to investigate a string of unsolved murder cases.,Randall Emmett,"Megan Fox, Bruce Willis, Emile Hirsch, Machine Gun Kelly","VOD Release Date: Friday, July 2"
63,The God Committee,(2021),,98 min,Thriller            ,8,"An organ transplant committee has one hour to decide which of three patients deserves a life-saving heart. Seven years later, the committee members struggle with the consequences of that fateful decision.",Austin Stark,"Julia Stiles, Janeane Garofalo, Kelsey Grammer, Dan Hedaya","DVD/Blu-Ray Release Date: Tuesday, July 27"
64,Unforgotten,(2015– ),,45 min,"Crime, Drama, Mystery            ",8.3,"London detectives investigate crimes from the past, unravelling secrets left buried for years.",,"Sanjeev Bhaskar, Jordan Long, Lewis Reeves, Nicola Walker","Season 4 DVD/Blu-Ray Release Date: Tuesday, July 27"
65,"Batman: The Long Halloween, Part Two",(2021 Video),R,,"Animation, Action, Crime            ",,The killer known as Holiday continues to stalk the Falcone crime family while a new class of costumed criminal rises in Gotham City. Batman suspects that a former ally might be the serial killer.,Chris Palmer,"Jensen Ackles, Troy Baker, Laila Berzins, Billy Burke","VOD Release Date: Friday, July 27"
